# Energy Density	Pressure	Density
5.856635799560545883e-09	6.081587444152831969e-15	6.295000000000000137e-12
1.470868034027099552e-08	3.099991523284912412e-14	1.580999999999999827e-11
3.693942795410156252e-08	1.517239644973754901e-13	3.971999999999999958e-11
9.278268709411619374e-08	7.184639806671143639e-13	9.975999999999999982e-11
2.330420107574463088e-07	3.287451227111816330e-12	2.505999999999999928e-10
5.856635799560548530e-07	1.446794261535644422e-11	6.294000000000000186e-10
1.470868034027099605e-06	6.087507224273680928e-11	1.580999999999999814e-09
3.695916055450439793e-06	2.440922669830322289e-10	3.971999999999999932e-09
4.652947174987793071e-06	3.281531446990967140e-10	4.999999999999999277e-09
9.284188489532470368e-06	8.956627322845458262e-10	9.975999999999999465e-09
1.852299199813842840e-05	2.391591168823242159e-09	1.989999999999999952e-08
3.695916055450440047e-05	6.278913448181151477e-09	3.972000000000000098e-08
7.376046030578613461e-05	1.625176969177246119e-08	7.924000000000000016e-08
1.471854664047241219e-04	4.167525205078124833e-08	1.581000000000000194e-07
1.853285829833984386e-04	5.454090751342773582e-08	1.990000000000000217e-07
2.938184199981689454e-04	1.016623572753906460e-07	3.155000000000000392e-07
4.656893695068359154e-04	1.890580444595336897e-07	5.000000000000000833e-07
5.862555579681396180e-04	2.577077612609863893e-07	6.294000000000000641e-07
7.381965810699462737e-04	3.143403244171142860e-07	7.924000000000000281e-07
9.294054789733886303e-04	4.281974287414551312e-07	9.976000000000001980e-07
1.473038620071410966e-03	7.938425142059325367e-07	1.580999999999999982e-06
2.336339887695312433e-03	1.470473382019042727e-06	2.505999999999999808e-06
3.703809095611572660e-03	2.723098855590820305e-06	3.972000000000000256e-06
4.662813475189209189e-03	3.534108732147216535e-06	5.000000000000000409e-06
5.866502099761963449e-03	4.806861458129883436e-06	6.294000000000000217e-06
7.393805370941161290e-03	6.541357033538818041e-06	7.924000000000000704e-06
9.305894349975587024e-03	8.893483001556396587e-06	9.976000000000000709e-06
1.172313789932251035e-02	1.209608404693603583e-05	1.256000000000000002e-05
1.475801184127807641e-02	1.579002684234618933e-05	1.580999999999999940e-05
1.858416305938720772e-02	2.125201063385009573e-05	1.989999999999999921e-05
2.340286407775878791e-02	2.888852698974608696e-05	2.506000000000000062e-05
2.948050500183105327e-02	3.713675395812988147e-05	3.155000000000000117e-05
3.711702135772704941e-02	5.049572443084716840e-05	3.971999999999999918e-05
4.674653035430907655e-02	6.864971680145263880e-05	5.000000000000000240e-05
5.884261440124512188e-02	9.331546730499267221e-05	6.294000000000000386e-05
7.415511231384275259e-02	1.268806205902099768e-04	7.923999999999997994e-05
9.333519990539550226e-02	1.620835797088623074e-04	9.975999999999999354e-05
1.034382913116455027e-01	1.804940958847045648e-04	1.105000000000000025e-04
1.175668332000732036e-01	2.054163701934814327e-04	1.255999999999999901e-04
1.480931660232543967e-01	2.792162957000732509e-04	1.580999999999999940e-04
1.865125390075683121e-01	3.630798474121093807e-04	1.990000000000000124e-04
2.350152707977294086e-01	4.704251936035156074e-04	2.506000000000000198e-04
2.411323769226073888e-01	4.871979039459228659e-04	2.572000000000000176e-04
6.921879641545216622e+00	9.742068748373577947e-03	7.360000000000001957e-03
1.204728130785200868e+01	1.787733410137965634e-02	1.280000000000000061e-02
1.717701372951396621e+01	3.023251324445771354e-02	1.823999999999999927e-02
2.231127590261664650e+01	4.849506436856214353e-02	2.367999999999999966e-02
2.745048581445730917e+01	7.345562052286117027e-02	2.912000000000000005e-02
3.259499324276283261e+01	1.052434906530353986e-01	3.456000000000000044e-02
3.774502383364654889e+01	1.435732658778350046e-01	4.000000000000000083e-02
4.290068642018372458e+01	1.879428162432162930e-01	4.544000000000000122e-02
4.806199771067995385e+01	2.377725829659612933e-01	5.088000000000000161e-02
5.322890849832100457e+01	2.924884835003540018e-01	5.632000000000000201e-02
5.840132523095127226e+01	3.515502588812525753e-01	6.176000000000000240e-02
6.357912365708404678e+01	4.144087996174192767e-01	6.720000000000000973e-02
6.876214860794652850e+01	4.802740911905785115e-01	7.264000000000001012e-02
7.395012370846889382e+01	5.445514140202457609e-01	7.808000000000001051e-02
7.918300399999999684e+01	6.096580000000000332e-01	8.351999999999999702e-02
8.438286499999999535e+01	6.984759999999999858e-01	8.895999999999999741e-02
8.958840800000000115e+01	7.965609999999999635e-01	9.439999999999999780e-02
9.479987099999999600e+01	9.051770000000000094e-01	9.983999999999999819e-02
1.000175409999999943e+02	1.025706000000000007e+00	1.052799999999999986e-01
1.052417480000000012e+02	1.159632999999999914e+00	1.107199999999999990e-01
1.104728319999999968e+02	1.306394000000000055e+00	1.161599999999999994e-01
1.157110509999999977e+02	1.466545999999999905e+00	1.215999999999999998e-01
1.209567650000000043e+02	1.643405000000000005e+00	1.270399999999999863e-01
1.262104140000000001e+02	1.839198000000000111e+00	1.324799999999999867e-01
1.314724889999999959e+02	2.056041000000000007e+00	1.379199999999999871e-01
1.367435289999999952e+02	2.296091000000000104e+00	1.433599999999999874e-01
1.420241139999999973e+02	2.561612999999999918e+00	1.487999999999999878e-01
1.473148669999999925e+02	2.855033999999999850e+00	1.542399999999999882e-01
1.526164569999999969e+02	3.178993999999999875e+00	1.596799999999999886e-01
1.579296009999999910e+02	3.536391000000000062e+00	1.651199999999999890e-01
1.632550689999999918e+02	3.930435999999999819e+00	1.705599999999999894e-01
1.685936920000000043e+02	4.364697999999999745e+00	1.759999999999999898e-01
1.739463639999999884e+02	4.843158999999999992e+00	1.814399999999999902e-01
1.793140510000000063e+02	5.370249000000000272e+00	1.868799999999999906e-01
1.846978029999999933e+02	5.950886999999999816e+00	1.923199999999999910e-01
1.900987519999999904e+02	6.590495999999999910e+00	1.977599999999999913e-01
1.955181289999999876e+02	7.295007000000000019e+00	2.031999999999999917e-01
2.009572599999999909e+02	8.070826999999999529e+00	2.086399999999999921e-01
2.064175799999999867e+02	8.924789000000000527e+00	2.140799999999999925e-01
2.119006249999999909e+02	9.864050999999999902e+00	2.195199999999999929e-01
2.174080390000000023e+02	1.089597000000000016e+01	2.249599999999999933e-01
2.229415639999999996e+02	1.202793199999999985e+01	2.303999999999999937e-01
2.285030340000000137e+02	1.326716099999999976e+01	2.358399999999999941e-01
2.340943599999999947e+02	1.462050699999999992e+01	2.412799999999999945e-01
2.397175180000000125e+02	1.609423599999999865e+01	2.467199999999999949e-01
2.453745250000000055e+02	1.769383600000000101e+01	2.521599999999999953e-01
2.510674209999999960e+02	1.942385700000000170e+01	2.575999999999999956e-01
2.567982440000000111e+02	2.128780199999999923e+01	2.630399999999999960e-01
2.625690099999999916e+02	2.328807099999999863e+01	2.684799999999999964e-01
2.683816899999999919e+02	2.542596500000000148e+01	2.739199999999999968e-01
2.742381920000000264e+02	2.770173799999999886e+01	2.793599999999999972e-01
2.801403440000000273e+02	3.011469900000000166e+01	2.847999999999999976e-01
2.860898849999999811e+02	3.266333199999999692e+01	2.902399999999999980e-01
2.920884520000000180e+02	3.534544000000000352e+01	2.956799999999999984e-01
2.981375750000000266e+02	3.815828700000000140e+01	3.011199999999999988e-01
3.042386779999999931e+02	4.109874299999999891e+01	3.065599999999999992e-01
3.103930720000000179e+02	4.416340100000000035e+01	3.119999999999999996e-01
3.166019660000000044e+02	4.734868999999999772e+01	3.174399999999999999e-01
3.228664610000000152e+02	5.065096799999999888e+01	3.228800000000000003e-01
3.291875610000000165e+02	5.406659100000000251e+01	3.283200000000000007e-01
3.355661779999999794e+02	5.759197000000000344e+01	3.337600000000000011e-01
3.420031339999999886e+02	6.122361500000000234e+01	3.392000000000000015e-01
3.484991719999999873e+02	6.495815899999999488e+01	3.446400000000000019e-01
3.550549560000000042e+02	6.879238399999999842e+01	3.500800000000000023e-01
3.616710850000000050e+02	7.272322699999999429e+01	3.555200000000000027e-01
3.683480890000000159e+02	7.674778600000000495e+01	3.609600000000000031e-01
3.750864450000000261e+02	8.086332500000000323e+01	3.664000000000000035e-01
3.818865710000000036e+02	8.506726100000000201e+01	3.718400000000000039e-01
3.887488389999999754e+02	8.935716999999999643e+01	3.772800000000000042e-01
3.956735760000000255e+02	9.373077200000000175e+01	3.827200000000000046e-01
4.026610689999999977e+02	9.818592800000000409e+01	3.881600000000000050e-01
4.097115660000000048e+02	1.027206269999999932e+02	3.936000000000000054e-01
4.168252830000000131e+02	1.073329829999999987e+02	3.990400000000000058e-01
4.240024040000000127e+02	1.120212219999999945e+02	4.044800000000000062e-01
4.312430860000000052e+02	1.167836769999999973e+02	4.099200000000000066e-01
4.385474580000000060e+02	1.216187769999999944e+02	4.153600000000000070e-01
4.459156290000000240e+02	1.265250429999999966e+02	4.208000000000000074e-01
4.533476850000000127e+02	1.315010780000000068e+02	4.262400000000000078e-01
4.608436909999999784e+02	1.365455619999999897e+02	4.316800000000000082e-01
